id,firstName,lastName,email,gender,knows
1,Base,Whitta,bwhitta0@imdb.com,Male,7
2,Evyn,Startin,estartin1@dailymotion.com,Male,7
3,Henrie,Loines,hloines2@reuters.com,Female,7
4,Nesta,Treen,ntreen3@google.com.au,Female,7
5,Sammy,Deal,sdeal4@yellowpages.com,Female,7
6,Randolf,Daniau,rdaniau5@walmart.com,Male,7
7,Quentin,Pingstone,qpingstone6@state.gov,Female,0
8,Myra,Dudden,mdudden7@chronoengine.com,Female,7
9,Lenore,Eglese,leglese8@sina.com.cn,Female,7
10,Robina,Van T'Hoog,rvanthoog9@biglobe.ne.jp,Female,7
